iter	RMSE
0	79.08193729
1	74.74887929
2	70.32756415
3	66.54354187
4	63.00229517
5	59.71894884
6	56.69580203
7	53.74722027
8	51.13487066
9	48.52678581
10	46.16909521
11	44.07654074
12	41.95168646
13	40.00490389
14	38.28156446
15	36.72644739
16	35.20943486
17	33.66443566
18	32.36419783
19	31.19396671
20	29.88852296
21	28.71876599
22	27.65642765
23	26.63394814
24	25.67344505
25	24.85910669
26	23.98848161
27	23.12891353
28	22.54906232
29	21.80623798
30	21.26225688
31	20.67831783
32	20.11620835
33	19.64352506
34	19.164434
35	18.78874686
36	18.32770868
37	17.94084475
38	17.55945023
39	17.28570585
40	16.90094282
41	16.57203813
42	16.30184443
43	16.03434483
44	15.82022094
45	15.57929429
46	15.33170502
47	15.0432357
48	14.82740042
49	14.68072829
50	14.47623186
51	14.36177043
52	14.23034522
53	14.04379722
54	13.88155629
55	13.75318574
56	13.63603132
57	13.51420903
58	13.4356377
59	13.28242478
60	13.16884945
61	13.02123199
62	12.88678403
63	12.77004874
64	12.67968278
65	12.60021968
66	12.50165836
67	12.45016513
68	12.38832836
69	12.32480805
70	12.24462788
71	12.14475277
72	12.05820909
73	11.95753587
74	11.89279041
75	11.82530877
76	11.7781553
77	11.69519827
78	11.6112013
79	11.52598166
80	11.47264271
81	11.43474697
82	11.35478677
83	11.28100816
84	11.19475076
85	11.16050735
86	11.09599355
87	11.03864698
88	10.98039916
89	10.84340912
90	10.75397532
91	10.67258831
92	10.62021302
93	10.56603085
94	10.52261592
95	10.4793899
96	10.40016637
97	10.34414608
98	10.28544999
99	10.23337274
100	10.19921191
101	10.13412233
102	10.03074731
103	9.946474222
104	9.888729538
105	9.828944941
106	9.787403977
107	9.762623334
108	9.753086913
109	9.706998427
110	9.682212692
111	9.65618158
112	9.618400176
113	9.597752473
114	9.547431803
115	9.486139827
116	9.458619411
117	9.42766349
118	9.362473223
119	9.319154296
120	9.258984339
121	9.208667703
122	9.135393009
123	9.101350437
124	9.063967191
125	9.016270278
126	8.988108773
127	8.962113113
128	8.933621774
129	8.879578876
130	8.852341911
131	8.790114971
132	8.74896802
133	8.72599769
134	8.708690367
135	8.688864546
136	8.668321006
137	8.604212826
138	8.575845234
139	8.547414501
140	8.535440569
141	8.488171692
142	8.448193491
143	8.429440101
144	8.38044501
145	8.340637347
146	8.316182714
147	8.288546271
148	8.267181911
149	8.252780105
150	8.225116281
151	8.189133818
152	8.154723569
153	8.14254971
154	8.120034575
155	8.09866558
156	8.066171149
157	8.033546052
158	8.022500535
159	7.998554986
160	7.949535249
161	7.917052227
162	7.901579006
163	7.894501345
164	7.873959856
165	7.839873926
166	7.802599065
167	7.782917815
168	7.76458654
169	7.727187897
170	7.691150423
171	7.666747404
172	7.636020246
173	7.601202694
174	7.582548774
